ID,title,author_ID,genre,publishedAt,pages,price,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
16064064-41b6-41e1-b047-4d7dc8e758a7,title-16064064,21078292-2210-43b0-8100-a24988ef8ada,genre-16064064,2019-02-04,13,6806375.6,97,U,2013-04-27T00:00:00.000Z,createdBy.9kb40@example.org,2022-03-22T00:00:00.000Z,modifiedBy.9kb40@example.org
16064065-ff30-4c97-8596-fbfbe9161986,title-16064065,21078292-2210-43b0-8100-a24988ef8ada,genre-16064065,2016-04-01,88,2343370.59,99,U,2016-12-23T00:00:00.000Z,createdBy.9kb41@example.net,2011-07-11T00:00:00.000Z,modifiedBy.9kb41@example.org
16064066-1cef-4a0a-9ab8-60e5bd8bf093,title-16064066,21078292-2210-43b0-8100-a24988ef8ada,genre-16064066,2023-12-01,23,5298275.98,49,U,2015-06-30T00:00:00.000Z,createdBy.9kb42@example.net,2006-12-26T00:00:00.000Z,modifiedBy.9kb42@example.net
16064067-ab19-423d-bc6b-759000adb36d,title-16064067,21078292-2210-43b0-8100-a24988ef8ada,genre-16064067,2015-11-12,38,4879022.31,23,L,2013-02-12T00:00:00.000Z,createdBy.9kb43@example.net,2020-10-05T00:00:00.000Z,modifiedBy.9kb43@example.org
16064068-c02f-4982-a126-cb7cd21c96dc,title-16064068,21078292-2210-43b0-8100-a24988ef8ada,genre-16064068,2012-11-08,33,3478164.7,73,U,2022-07-19T00:00:00.000Z,createdBy.9kb44@example.com,2017-01-31T00:00:00.000Z,modifiedBy.9kb44@example.org
16064069-d745-4821-aba8-5612fa6819f7,title-16064069,21078292-2210-43b0-8100-a24988ef8ada,genre-16064069,2011-12-10,84,6068270.91,78,U,2018-12-23T00:00:00.000Z,createdBy.9kb45@example.org,2023-01-12T00:00:00.000Z,modifiedBy.9kb45@example.com
16064070-5389-4dd8-a775-29d341997fe0,title-16064070,21078292-2210-43b0-8100-a24988ef8ada,genre-16064070,2000-10-30,76,6727401.22,46,U,2015-05-29T00:00:00.000Z,createdBy.9kb46@example.net,2006-05-01T00:00:00.000Z,modifiedBy.9kb46@example.com
16064071-d7ac-45fd-ad38-41d23f14e15a,title-16064071,21078292-2210-43b0-8100-a24988ef8ada,genre-16064071,2020-01-15,36,7950368.6,75,A,2001-12-08T00:00:00.000Z,createdBy.9kb47@example.net,2014-07-09T00:00:00.000Z,modifiedBy.9kb47@example.com
16064072-d0b2-419d-8100-7009a1dd009f,title-16064072,21078292-2210-43b0-8100-a24988ef8ada,genre-16064072,2008-12-26,60,6127230.17,20,U,2017-03-16T00:00:00.000Z,createdBy.9kb48@example.org,2015-07-06T00:00:00.000Z,modifiedBy.9kb48@example.net
16064073-0b02-4ba4-ba4c-789e7ea05810,title-16064073,21078292-2210-43b0-8100-a24988ef8ada,genre-16064073,2022-10-12,7,1924936.26,19,U,2023-05-21T00:00:00.000Z,createdBy.9kb49@example.org,2013-05-26T00:00:00.000Z,modifiedBy.9kb49@example.org
