book_ID,ID,number,title,pages,createdAt,createdBy,modifiedAt,modifiedBy
16169972-19a8-4e1a-b8e9-d73308b7421d,54372665-dc72-449b-9039-c6fe8da4b842,86,title-5437266,12,2001-07-10T00:00:00.000Z,createdBy.38jf6@example.com,2018-07-04T00:00:00.000Z,modifiedBy.38jf6@example.net
16169972-19a8-4e1a-b8e9-d73308b7421d,54372671-c6c8-4384-bd8c-5a722b08ef59,4,title-5437267,2,2018-07-06T00:00:00.000Z,createdBy.38jf7@example.com,2007-03-28T00:00:00.000Z,modifiedBy.38jf7@example.net
16169987-5b1f-431b-84b9-e6a126bf98aa,24533537-2bda-4d60-975e-95da7e96c891,27,title-24533537,10,2009-05-18T00:00:00.000Z,createdBy.elu75@example.net,2007-10-12T00:00:00.000Z,modifiedBy.elu75@example.org
16169987-5b1f-431b-84b9-e6a126bf98aa,24533538-6e37-46a7-a6f5-8f6e0db63f5d,37,title-24533538,20,2017-04-17T00:00:00.000Z,createdBy.elu76@example.net,2010-09-15T00:00:00.000Z,modifiedBy.elu76@example.com
1616999a-8a80-4ac1-ae17-899d5df1cb1f,13074596-c3d1-45be-b617-6c48dff8ed8a,27,title-13074596,77,2010-04-19T00:00:00.000Z,createdBy.7s8f8@example.net,2008-12-22T00:00:00.000Z,modifiedBy.7s8f8@example.org
1616999a-8a80-4ac1-ae17-899d5df1cb1f,13074597-f866-494b-ba45-a79445ac0efe,90,title-13074597,36,2018-07-14T00:00:00.000Z,createdBy.7s8f9@example.net,2018-05-31T00:00:00.000Z,modifiedBy.7s8f9@example.com
1617000f-0dcd-4a60-9f90-4da1e3ac24ab,34030145-8d95-4ff0-90e2-a87956cd9728,75,title-3403014,93,2015-08-13T00:00:00.000Z,createdBy.20xs6@example.com,2019-04-02T00:00:00.000Z,modifiedBy.20xs6@example.org
1617000f-0dcd-4a60-9f90-4da1e3ac24ab,3403015b-1d7c-4ab6-b7be-4bac4bfdde8f,83,title-3403015,90,2008-08-09T00:00:00.000Z,createdBy.20xs7@example.net,2017-10-12T00:00:00.000Z,modifiedBy.20xs7@example.net
16170017-78c5-4eb1-b943-518acc992a65,29069748-ea84-45b0-86c3-b949370bdb91,49,title-29069748,44,2021-03-13T00:00:00.000Z,createdBy.hb2d0@example.org,2007-11-21T00:00:00.000Z,modifiedBy.hb2d0@example.org
16170017-78c5-4eb1-b943-518acc992a65,29069749-f5ec-463c-9e78-f89bf72add9d,32,title-29069749,45,2011-03-30T00:00:00.000Z,createdBy.hb2d1@example.com,2014-03-20T00:00:00.000Z,modifiedBy.hb2d1@example.net
16170027-0267-4f57-8ab2-0ce9df29157a,2025604c-c1fb-432d-b1f2-82fd111d59d9,60,title-2025604,73,2019-03-16T00:00:00.000Z,createdBy.17eys@example.org,2009-01-28T00:00:00.000Z,modifiedBy.17eys@example.org
16170027-0267-4f57-8ab2-0ce9df29157a,20256053-807b-4187-8c87-4d8bf1140f9e,99,title-2025605,66,2012-12-29T00:00:00.000Z,createdBy.17eyt@example.com,2017-09-04T00:00:00.000Z,modifiedBy.17eyt@example.org
16170031-1542-4c0b-a7f9-53c4b1a2c79e,13424958-3e51-4974-9767-647b36538576,13,title-13424958,80,2008-02-03T00:00:00.000Z,createdBy.7zqri@example.com,2018-05-10T00:00:00.000Z,modifiedBy.7zqri@example.org
16170031-1542-4c0b-a7f9-53c4b1a2c79e,13424959-65bf-4b06-b321-5089fd4beddd,93,title-13424959,22,2018-03-05T00:00:00.000Z,createdBy.7zqrj@example.net,2011-01-09T00:00:00.000Z,modifiedBy.7zqrj@example.org
16170047-8f35-4479-b354-37571d0e0181,56125550-d93a-4872-a05c-a3c6b7056aad,87,title-5612555,20,2016-03-28T00:00:00.000Z,createdBy.3caob@example.com,2008-01-25T00:00:00.000Z,modifiedBy.3caob@example.net
16170047-8f35-4479-b354-37571d0e0181,56125569-499e-469e-abd9-d9d253d76746,87,title-5612556,73,2011-11-27T00:00:00.000Z,createdBy.3caoc@example.net,2022-12-21T00:00:00.000Z,modifiedBy.3caoc@example.org
16170052-dda2-42cd-9b12-c10ff50a63b8,17745144-750c-4c34-a6ba-2a146e06875f,70,title-17745144,27,2003-04-14T00:00:00.000Z,createdBy.akc8o@example.net,2003-09-01T00:00:00.000Z,modifiedBy.akc8o@example.net
16170052-dda2-42cd-9b12-c10ff50a63b8,17745145-2145-4340-a460-2dcc1eeb992c,37,title-17745145,67,2023-03-26T00:00:00.000Z,createdBy.akc8p@example.org,2007-05-08T00:00:00.000Z,modifiedBy.akc8p@example.net
16170066-ac49-4195-815a-7e2e934a4c50,22917351-cb21-49a8-a9e8-36e66080d899,11,title-22917351,5,2009-09-23T00:00:00.000Z,createdBy.dn753@example.net,2002-02-07T00:00:00.000Z,modifiedBy.dn753@example.net
16170066-ac49-4195-815a-7e2e934a4c50,22917352-067f-47bf-b9ed-08e42d87f687,79,title-22917352,99,2019-05-26T00:00:00.000Z,createdBy.dn754@example.org,2003-04-04T00:00:00.000Z,modifiedBy.dn754@example.org
